Order_ID,Restaurant_Name,Location,Order_Date,Order_Time,Deliver_status,Delivery_Duration,Pizza_Size,Pizza_Type,Distance,Traffic_Level,Payment_Method,Is_Peak_Hour,Is_Weekend,Order_Month,Estimated_Duration ,Delay,Delayed_status
ORD001,Domino's,"New York, NY",05-01-2024,18:30:00,Fast,15,M,Veg,2.5,Medium,Card,1,0,January,6,9,On Time
ORD002,Papa John's,"Los Angeles, CA",14-02-2024,20:00:00,Average,25,L,Non-Veg,5,High,Wallet,1,0,February,12,13,On Time
ORD003,Little Caesars,"Chicago, IL",21-03-2024,12:15:00,Fast,20,S,Vegan,3,Low,UPI,0,0,March,7.2,12.8,On Time
ORD004,Pizza Hut,"Miami, FL",10-04-2024,19:45:00,Average,25,XL,Cheese Burst,4.5,Medium,Cash,1,0,April,10.8,14.2,On Time
ORD005,Marco's Pizza,"Dallas, TX",05-05-2024,13:00:00,Fast,20,M,Non-Veg,2,High,Card,0,1,May,4.8,15.2,On Time
ORD006,Domino's,"New York, NY",06-01-2024,19:00:00,Fast,20,M,Non-Veg,3,High,Card,1,1,January,7.2,12.8,On Time
ORD007,Papa John's,"Los Angeles, CA",07-01-2024,20:15:00,Average,25,L,Veg,4.5,Medium,UPI,1,1,January,10.8,14.2,On Time
ORD008,Little Caesars,"Chicago, IL",08-01-2024,18:30:00,Fast,20,S,Vegan,2,Low,Cash,1,0,January,4.8,15.2,On Time
ORD009,Pizza Hut,"Miami, FL",09-01-2024,19:45:00,Average,25,XL,Cheese Burst,5,High,Wallet,1,0,January,12,13,On Time
ORD011,Domino's,"San Francisco, CA",11-01-2024,17:30:00,Fast,20,L,Veg,4,Low,UPI,0,0,January,9.6,10.4,On Time
ORD012,Papa John's,"Houston, TX",12-01-2024,19:00:00,Average,25,M,Non-Veg,3,Medium,Cash,1,0,January,7.2,17.8,On Time
ORD013,Little Caesars,"Phoenix, AZ",13-01-2024,18:15:00,Fast,20,S,Vegan,2.5,High,Wallet,1,1,January,6,14,On Time
ORD014,Pizza Hut,"Atlanta, GA",14-01-2024,20:30:00,Average,25,XL,Cheese Burst,4,Low,Card,1,1,January,9.6,15.4,On Time
ORD015,Marco's Pizza,"Seattle, WA",15-01-2024,14:00:00,Fast,20,M,Non-Veg,3,Medium,UPI,0,0,January,7.2,12.8,On Time
ORD016,Domino's,"Denver, CO",16-01-2024,19:45:00,Average,25,L,Veg,4.5,High,Cash,1,0,January,10.8,14.2,On Time
